system,commit_id,class_name,measure,metric_name,before_or_after_commit,value
mcts,9598830e8e0299040070c498dc582de9f6f8321d,MctsTreeNode,cohesion,LCOM,before,0.8194444444444444
mcts,9598830e8e0299040070c498dc582de9f6f8321d,MctsTreeNode,cohesion,LCOM,after,0.7857142857142857
mcts,9598830e8e0299040070c498dc582de9f6f8321d,MctsTreeNode,cohesion,C3,before,0.2560064863477027
mcts,9598830e8e0299040070c498dc582de9f6f8321d,MctsTreeNode,cohesion,C3,after,0.24335963512275877
mcts,9598830e8e0299040070c498dc582de9f6f8321d,Mcts,cohesion,LCOM,before,0.6818181818181819
mcts,9598830e8e0299040070c498dc582de9f6f8321d,Mcts,cohesion,LCOM,after,0.8333333333333334
mcts,9598830e8e0299040070c498dc582de9f6f8321d,Mcts,cohesion,C3,before,0.4119311569702388
mcts,9598830e8e0299040070c498dc582de9f6f8321d,Mcts,cohesion,C3,after,0.45566338350066266
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuGrid,cohesion,LCOM,before,0.11764705882352944
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuGrid,cohesion,LCOM,after,0.11764705882352944
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuGrid,cohesion,C3,before,0.43196610858048146
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuGrid,cohesion,C3,after,0.4519054055143743
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuSolver,cohesion,LCOM,before,0.46153846153846156
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuSolver,cohesion,LCOM,after,0.6153846153846154
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuSolver,cohesion,C3,before,0.34761977617700723
Sudoku-Solver,0374d02a16df6acf54a5b19ab36f50573a4846ee,SudokuSolver,cohesion,C3,after,0.2981684573252042
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,CommunicationApplication,cohesion,LCOM,before,0.7037037037037037
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,CommunicationApplication,cohesion,LCOM,after,0.7575757575757576
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,CommunicationApplication,cohesion,C3,before,0.17980436246256173
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,CommunicationApplication,cohesion,C3,after,0.17980436246256173
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,Discovery,cohesion,LCOM,before,0.5833333333333333
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,Discovery,cohesion,LCOM,after,0.6904761904761905
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,Discovery,cohesion,C3,before,0.21877998579662283
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,Discovery,cohesion,C3,after,0.11627684169013223
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,RoutingTable,cohesion,LCOM,before,0.0
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,RoutingTable,cohesion,LCOM,after,0.0
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,RoutingTable,cohesion,C3,before,0.3159755660699922
Communication-Application,0526e4bd5e922aad62a18d17445db64766ea89a0,RoutingTable,cohesion,C3,after,0.39434637205571543
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,RestSecurity,cohesion,LCOM,before,0.5
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,RestSecurity,cohesion,LCOM,after,0.6
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,RestSecurity,cohesion,C3,before,0.44792779649956965
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,RestSecurity,cohesion,C3,after,0.37773134602614056
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,SAMLAssertionHandler,cohesion,LCOM,before,0.5
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,SAMLAssertionHandler,cohesion,LCOM,after,0.5
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,SAMLAssertionHandler,cohesion,C3,before,0.18028366916665348
ddf,05b208ccd6b85f549279ab1f156032101dfdff3a,SAMLAssertionHandler,cohesion,C3,after,0.1825407148303377
flappybird,07785fe7376eded50d746059ade9980a7f7e4a3a,FlappyBird,cohesion,LCOM,before,0.7638888888888888
flappybird,07785fe7376eded50d746059ade9980a7f7e4a3a,FlappyBird,cohesion,LCOM,after,0.5625
flappybird,07785fe7376eded50d746059ade9980a7f7e4a3a,FlappyBird,cohesion,C3,before,0.19911509356623686
flappybird,07785fe7376eded50d746059ade9980a7f7e4a3a,FlappyBird,cohesion,C3,after,0.22256152963451212
battlecode,0a3a20f4e41f02961ed8e032143e3e49d00a910c,BoidMovementBehaviour,cohesion,LCOM,before,0.876984126984127
battlecode,0a3a20f4e41f02961ed8e032143e3e49d00a910c,BoidMovementBehaviour,cohesion,LCOM,after,0.8777777777777778
battlecode,0a3a20f4e41f02961ed8e032143e3e49d00a910c,BoidMovementBehaviour,cohesion,C3,before,0.2552055408618696
battlecode,0a3a20f4e41f02961ed8e032143e3e49d00a910c,BoidMovementBehaviour,cohesion,C3,after,0.23309061923026672
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,LocationFinder,cohesion,LCOM,before,0.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,LocationFinder,cohesion,LCOM,after,0.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,LocationFinder,cohesion,C3,before,1.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,LocationFinder,cohesion,C3,after,1.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,QueryMap,cohesion,LCOM,before,0.5833333333333333
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,QueryMap,cohesion,LCOM,after,0.5833333333333333
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,QueryMap,cohesion,C3,before,0.20561848073096242
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,QueryMap,cohesion,C3,after,0.20561848073096242
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,AuthorFinder,cohesion,LCOM,before,0.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,AuthorFinder,cohesion,LCOM,after,0.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,AuthorFinder,cohesion,C3,before,1.0
PARIScripts,127c4b600ac8e49f84a92b6374b788a1317a6795,AuthorFinder,cohesion,C3,after,1.0
battleship,1930e415c8fbc26c4c1575b57303c10a0f3c008b,Player,cohesion,LCOM,before,0.8888888888888888
battleship,1930e415c8fbc26c4c1575b57303c10a0f3c008b,Player,cohesion,LCOM,after,0.8888888888888888
battleship,1930e415c8fbc26c4c1575b57303c10a0f3c008b,Player,cohesion,C3,before,0.08743633137061961
battleship,1930e415c8fbc26c4c1575b57303c10a0f3c008b,Player,cohesion,C3,after,0.09019191512074688
esper-demo-nuclear,1d9f83ce99aec787c1f59bb93389052421f6c774,EsperDemoNuclear,cohesion,LCOM,before,0.0
esper-demo-nuclear,1d9f83ce99aec787c1f59bb93389052421f6c774,EsperDemoNuclear,cohesion,LCOM,after,0.0
esper-demo-nuclear,1d9f83ce99aec787c1f59bb93389052421f6c774,EsperDemoNuclear,cohesion,C3,before,1.0
esper-demo-nuclear,1d9f83ce99aec787c1f59bb93389052421f6c774,EsperDemoNuclear,cohesion,C3,after,1.0
Group8EvolArt,2609c1331191535f409a812166cf934c79f68e3e,ProtoGUI,cohesion,LCOM,before,0.0
Group8EvolArt,2609c1331191535f409a812166cf934c79f68e3e,ProtoGUI,cohesion,LCOM,after,0.0
Group8EvolArt,2609c1331191535f409a812166cf934c79f68e3e,ProtoGUI,cohesion,C3,before,0.4772107348016472
Group8EvolArt,2609c1331191535f409a812166cf934c79f68e3e,ProtoGUI,cohesion,C3,after,0.5131821737184299
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Unit,cohesion,LCOM,before,0.8785714285714286
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Unit,cohesion,LCOM,after,0.8785714285714286
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Unit,cohesion,C3,before,0.1865601288944869
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Unit,cohesion,C3,after,0.1865601288944869
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Squad,cohesion,LCOM,before,0.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Squad,cohesion,LCOM,after,0.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Squad,cohesion,C3,before,1.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,Squad,cohesion,C3,after,1.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,SquadManager,cohesion,LCOM,before,0.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,SquadManager,cohesion,LCOM,after,0.5
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,SquadManager,cohesion,C3,before,1.0
Sol-Wars-RTS,27b45031451672cd4f4b5c5c60c3628707e90e06,SquadManager,cohesion,C3,after,0.9603920767980495
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Autonomous,cohesion,LCOM,before,0.6666666666666667
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Autonomous,cohesion,LCOM,after,0.6666666666666667
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Autonomous,cohesion,C3,before,0.11719544037001295
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Autonomous,cohesion,C3,after,0.14893762406307223
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro,cohesion,LCOM,before,0.0
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro,cohesion,LCOM,after,0.75
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro,cohesion,C3,before,0.441372644790387
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro,cohesion,C3,after,0.43764636613758795
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro_Programs,cohesion,LCOM,before,0.86
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro_Programs,cohesion,LCOM,after,0.825
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro_Programs,cohesion,C3,before,0.24195648288012622
Chaithu-s-OP-modes,2859c51238505774b8d6a46443e3eb8c1931de29,Gyro_Programs,cohesion,C3,after,0.3298087813266905
seventh,2b43534f4dea17609a6167b7e7c3897387365ebd,Triangle,cohesion,LCOM,before,0.7843137254901961
seventh,2b43534f4dea17609a6167b7e7c3897387365ebd,Triangle,cohesion,LCOM,after,0.7843137254901961
seventh,2b43534f4dea17609a6167b7e7c3897387365ebd,Triangle,cohesion,C3,before,0.5998227286996402
seventh,2b43534f4dea17609a6167b7e7c3897387365ebd,Triangle,cohesion,C3,after,0.5241020174653154
main,32285def6f1a4f147247291eefdc43d818c751ad,Task,cohesion,LCOM,before,0.7142857142857143
main,32285def6f1a4f147247291eefdc43d818c751ad,Task,cohesion,LCOM,after,0.7407407407407407
main,32285def6f1a4f147247291eefdc43d818c751ad,Task,cohesion,C3,before,0.2587806353524243
main,32285def6f1a4f147247291eefdc43d818c751ad,Task,cohesion,C3,after,0.25273467946637096
main,32285def6f1a4f147247291eefdc43d818c751ad,Logic,cohesion,LCOM,before,0.8505494505494505
main,32285def6f1a4f147247291eefdc43d818c751ad,Logic,cohesion,LCOM,after,0.8308080808080808
main,32285def6f1a4f147247291eefdc43d818c751ad,Logic,cohesion,C3,before,0.3590957514349541
main,32285def6f1a4f147247291eefdc43d818c751ad,Logic,cohesion,C3,after,0.40624033141662935
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EntryPoint,cohesion,LCOM,before,0.4666666666666667
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EntryPoint,cohesion,LCOM,after,0.4666666666666667
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EntryPoint,cohesion,C3,before,0.2539108788910736
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EntryPoint,cohesion,C3,after,0.23857859619462637
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EncryptionManager,cohesion,LCOM,before,0.6666666666666667
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EncryptionManager,cohesion,LCOM,after,0.65
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EncryptionManager,cohesion,C3,before,0.24621624641513143
challengeChessServer,35a2da343fd49dd06970f8f5a92eeb5a84c66c7e,EncryptionManager,cohesion,C3,after,0.2417815086798961
CS2016B-Examples-from-class,37bed9119911cd5392581a5cfec3d6d32757e109,App,cohesion,LCOM,before,0.8333333333333334
CS2016B-Examples-from-class,37bed9119911cd5392581a5cfec3d6d32757e109,App,cohesion,LCOM,after,0.0
CS2016B-Examples-from-class,37bed9119911cd5392581a5cfec3d6d32757e109,App,cohesion,C3,before,0.28308009352945185
CS2016B-Examples-from-class,37bed9119911cd5392581a5cfec3d6d32757e109,App,cohesion,C3,after,1.0
tensorflow-spring-cloud-stream-app-starters,449001ec7e718026f3569016e991914b6df8cbef,TwitterSentimentTensorflowProcessorIntegrationTests,cohesion,LCOM,before,0.0
tensorflow-spring-cloud-stream-app-starters,449001ec7e718026f3569016e991914b6df8cbef,TwitterSentimentTensorflowProcessorIntegrationTests,cohesion,LCOM,after,0.0
tensorflow-spring-cloud-stream-app-starters,449001ec7e718026f3569016e991914b6df8cbef,TwitterSentimentTensorflowProcessorIntegrationTests,cohesion,C3,before,1.0
tensorflow-spring-cloud-stream-app-starters,449001ec7e718026f3569016e991914b6df8cbef,TwitterSentimentTensorflowProcessorIntegrationTests,cohesion,C3,after,1.0
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,ConvertServlet,cohesion,LCOM,before,1.0
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,ConvertServlet,cohesion,LCOM,after,1.0
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,ConvertServlet,cohesion,C3,before,0.612450894141375
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,ConvertServlet,cohesion,C3,after,0.27675828383672235
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,Form,cohesion,LCOM,before,0.7
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,Form,cohesion,LCOM,after,0.7159090909090908
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,Form,cohesion,C3,before,0.27519405405329184
CurrencyExchangeProject,45a4f3f238610731bfffeb6ff29c9cfb1c07eee5,Form,cohesion,C3,after,0.2869080829735659
addressbook-level3,4b5717f30506583d3a1ae845393261e05cefcde9,Parser,cohesion,LCOM,before,0.9090909090909091
addressbook-level3,4b5717f30506583d3a1ae845393261e05cefcde9,Parser,cohesion,LCOM,after,0.8888888888888888
addressbook-level3,4b5717f30506583d3a1ae845393261e05cefcde9,Parser,cohesion,C3,before,0.3487254286673881
addressbook-level3,4b5717f30506583d3a1ae845393261e05cefcde9,Parser,cohesion,C3,after,0.48990454231879643
AttendanceApp,4dc27d64a20e18579edd52e3e52f9c6759241604,Main,cohesion,LCOM,before,0.0
AttendanceApp,4dc27d64a20e18579edd52e3e52f9c6759241604,Main,cohesion,LCOM,after,0.0
AttendanceApp,4dc27d64a20e18579edd52e3e52f9c6759241604,Main,cohesion,C3,before,0.5528713182147417
AttendanceApp,4dc27d64a20e18579edd52e3e52f9c6759241604,Main,cohesion,C3,after,0.47189381058379953
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsValidator,cohesion,LCOM,before,0.6666666666666667
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsValidator,cohesion,LCOM,after,0.6666666666666667
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsValidator,cohesion,C3,before,0.18505442672558692
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsValidator,cohesion,C3,after,0.18505442672558692
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNums,cohesion,LCOM,before,0.0
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNums,cohesion,LCOM,after,0.0
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNums,cohesion,C3,before,0.2081523712669239
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNums,cohesion,C3,after,0.0
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumber,cohesion,LCOM,before,0.6666666666666667
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumber,cohesion,LCOM,after,0.6666666666666667
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumber,cohesion,C3,before,0.5440139733931687
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumber,cohesion,C3,after,0.5412240208548725
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsTests,cohesion,LCOM,before,0.0
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsTests,cohesion,LCOM,after,0.0
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsTests,cohesion,C3,before,0.3990509213516531
ccNums,57089b55fc0c542542529883b837937d89f49ace,CcNumsTests,cohesion,C3,after,0.3798920139074467
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,TemperatureWarningStatement,cohesion,LCOM,before,0.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,TemperatureWarningStatement,cohesion,LCOM,after,0.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,TemperatureWarningStatement,cohesion,C3,before,1.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,TemperatureWarningStatement,cohesion,C3,after,1.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,EsperDemoNuclear,cohesion,LCOM,before,0.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,EsperDemoNuclear,cohesion,LCOM,after,0.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,EsperDemoNuclear,cohesion,C3,before,1.0
esper-demo-nuclear,5df36168f5b36a5581d195fddd1acbfa9908974f,EsperDemoNuclear,cohesion,C3,after,1.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IWebserver,cohesion,LCOM,before,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IWebserver,cohesion,LCOM,after,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IWebserver,cohesion,C3,before,0.17769324935277148
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IWebserver,cohesion,C3,after,0.17769324935277148
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IRascalExtraction,cohesion,LCOM,before,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IRascalExtraction,cohesion,LCOM,after,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IRascalExtraction,cohesion,C3,before,1.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IRascalExtraction,cohesion,C3,after,1.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IQuestionCompiler,cohesion,LCOM,before,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IQuestionCompiler,cohesion,LCOM,after,0.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IQuestionCompiler,cohesion,C3,before,1.0
rascal,601a8c02ac63e3790f293fbda4dbece858bddc0f,IQuestionCompiler,cohesion,C3,after,1.0
Movie-Registraction,66ca87055d137adf25707b31e40aea2e4bb2d782,MovieDAO,cohesion,LCOM,before,0.8888888888888888
Movie-Registraction,66ca87055d137adf25707b31e40aea2e4bb2d782,MovieDAO,cohesion,LCOM,after,0.8888888888888888
Movie-Registraction,66ca87055d137adf25707b31e40aea2e4bb2d782,MovieDAO,cohesion,C3,before,0.5065424180563163
Movie-Registraction,66ca87055d137adf25707b31e40aea2e4bb2d782,MovieDAO,cohesion,C3,after,0.508016115110117
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,BookingDriver,cohesion,LCOM,before,0.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,BookingDriver,cohesion,LCOM,after,0.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,BookingDriver,cohesion,C3,before,1.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,BookingDriver,cohesion,C3,after,1.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,Booking,cohesion,LCOM,before,0.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,Booking,cohesion,LCOM,after,0.0
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,Booking,cohesion,C3,before,0.49680933346793243
GymSystem_Docs,68198b177047422e855de0d8f1f7189f29309814,Booking,cohesion,C3,after,0.503525838671847
ReservationSys,6acbc9b28364036fbe10297eded5ecee1d25998d,ListUtilities,cohesion,LCOM,before,0.6363636363636364
ReservationSys,6acbc9b28364036fbe10297eded5ecee1d25998d,ListUtilities,cohesion,LCOM,after,0.6666666666666667
ReservationSys,6acbc9b28364036fbe10297eded5ecee1d25998d,ListUtilities,cohesion,C3,before,0.42758290516152714
ReservationSys,6acbc9b28364036fbe10297eded5ecee1d25998d,ListUtilities,cohesion,C3,after,0.4222698248488166
addressbook-level3,6d118e2b1fd75c252db9fe5feac0822d8ab45f57,Parser,cohesion,LCOM,before,0.8888888888888888
addressbook-level3,6d118e2b1fd75c252db9fe5feac0822d8ab45f57,Parser,cohesion,LCOM,after,0.8333333333333334
addressbook-level3,6d118e2b1fd75c252db9fe5feac0822d8ab45f57,Parser,cohesion,C3,before,0.3931889625971416
addressbook-level3,6d118e2b1fd75c252db9fe5feac0822d8ab45f57,Parser,cohesion,C3,after,0.5958007227700028
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchByName,cohesion,LCOM,before,0.5625
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchByName,cohesion,LCOM,after,0.5625
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchByName,cohesion,C3,before,0.19332560261164955
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchByName,cohesion,C3,after,0.19332560261164955
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,InternetConnectionChecking,cohesion,LCOM,before,0.0
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,InternetConnectionChecking,cohesion,LCOM,after,0.0
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,InternetConnectionChecking,cohesion,C3,before,0.3056900187510783
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,InternetConnectionChecking,cohesion,C3,after,0.31898317326431447
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchPage,cohesion,LCOM,before,0.9107142857142857
MobileApplication1,71102e8bd671a80189f9eb7f5073ca6e8d94a27f,SearchPage,cohesion,LCOM,after,0.4
